Set1,Set2,Score,IsLinkValid
84,36,0.29078410313125885,false
51,32,0.2735155114651283,true
91,36,0.26828919283462194,false
56,32,0.2596262905134694,true
82,36,0.25928914879728,false
54,32,0.2570483993241616,true
100,36,0.2567593532587847,false
92,36,0.2542658770983544,false
55,32,0.25389745669717223,true
53,32,0.2493329817472553,true
52,32,0.24890878307096806,true
51,31,0.22926812441731126,true
103,36,0.2269824818017282,false
58,39,0.22109728113792718,true
89,36,0.220207755304863,false
56,31,0.21868054924001806,true
61,39,0.21712863326055593,true
99,36,0.21112574825274294,false
81,36,0.21081595836202663,false
54,31,0.20961487287602873,true
105,36,0.20757045492284004,false
55,31,0.20704537841532558,true
107,39,0.20571514257197562,false
86,36,0.20557610750277133,false
102,36,0.20503576048006522,false
57,32,0.2046701923757521,true
53,31,0.2033231928701588,true
52,31,0.20297727221148937,true
97,36,0.2010975935917382,false
110,39,0.2008694347665024,false
106,36,0.1999862868367504,false
108,39,0.19828898844962675,false
109,39,0.19759227986906475,false
83,36,0.195231128291825,false
90,36,0.19446843855364246,false
89,42,0.19438404368548876,true
111,39,0.19347458246807886,false
101,36,0.19037749344450328,false
85,36,0.1899928519889318,false
93,36,0.18652341225627572,false
84,42,0.1852024453529705,true
91,42,0.18472323315991673,true
113,39,0.18349186941060355,false
112,39,0.18347550569907733,false
84,50,0.18345688865053758,false
107,46,0.182337755098772,true
110,46,0.17936992065072963,true
108,46,0.17706566539338056,true
109,46,0.17644352712253136,true
81,42,0.17578196400028354,true
111,46,0.17276655627359597,true
57,31,0.17239159406110915,true
82,42,0.1716376282054664,true
92,42,0.17137932459538208,true
82,50,0.17051181722764566,false
107,45,0.17009922503626584,true
90,42,0.16889675415793876,true
81,50,0.16724681714919165,false
83,42,0.16691316847217527,true
58,46,0.1658246043513452,false
60,39,0.16401868444356446,true
86,42,0.1639039753645725,true
91,50,0.16387447096494656,false
58,41,0.16360130493776667,false
113,46,0.16325006307794565,true
112,46,0.1632355045204061,true
110,45,0.1627086816018002,true
108,45,0.16061846305435856,true
109,45,0.16005411370605835,true
85,42,0.15979752396433852,true
88,42,0.15956892910504464,true
92,50,0.15869715301111653,false
111,45,0.15671868780550566,true
100,50,0.15282447741748573,false
113,45,0.1519882183090308,true
112,45,0.15197466407707608,true
59,39,0.1499659666261638,true
51,46,0.14674414266724894,false
93,42,0.14463252935665336,true
86,41,0.14390068486098812,true
83,41,0.14295778223784816,true
56,46,0.1427597097250665,false
103,50,0.1410061872408241,false
90,41,0.13992285263587337,true
61,41,0.13848284555631726,false
88,41,0.1383022811940536,true
84,41,0.1373307828068176,true
85,41,0.13627252393012412,true
89,50,0.13599853181933888,false
54,46,0.13543290393420204,false
89,41,0.13397016046030447,true
55,46,0.13377274455867108,false
95,36,0.13242420373334263,false
58,45,0.13207899648151908,false
95,48,0.13176252523605117,false
53,46,0.13136782743400696,false
87,41,0.13123112701463402,true
52,46,0.13114432688420516,false
103,42,0.13112044175198637,false
102,42,0.12942545816994974,false
106,42,0.1287014128744419,false
94,44,0.1282412023109472,true
89,43,0.12805077494938458,false
102,50,0.12771162444530998,false
83,50,0.1271953937216576,false
100,42,0.12675725424226678,false
91,41,0.1260222509989298,true
87,42,0.12594351337160975,true
86,50,0.1258664655725828,false
105,42,0.12547517828745366,false
99,50,0.1253666723172056,false
105,50,0.12498648312761239,false
94,36,0.12452807405266027,false
